Train_Number_All,isReturn,isOneway,dept_datetime
F,0,0,2019/6/19
I,1,0,2011/11/18
C,1,0,2012/11/18
I,1,0,2004/7/19
J,0,0,2018/10/29
A,0,0,2018/10/30
H,0,0,2004/2/19
L,0,0,2018/11/28
L,0,0,2019/5/19
J,0,0,2019/5/19
J,0,0,2019/6/30
E,0,0,2007/9/18
A,0,0,2018/6/24
E,0,0,2019/5/13
K,1,0,2019/5/25
C,1,0,2006/12/19
L,0,0,2012/3/18
J,0,0,2006/10/19
B,1,0,2019/2/27
K,1,0,2018/7/25
G,1,0,2018/7/25
B,1,0,2008/8/18
D,1,0,2010/10/18
C,1,0,2011/7/18
B,1,0,2018/11/27
C,1,0,2001/7/19
G,1,0,2019/1/31
G,1,0,2019/2/20
I,1,0,2019/2/23
E,0,0,2010/8/18
E,0,0,2019/1/16
L,0,0,2003/5/19
M,0,0,2003/12/19
F,0,0,2005/1/19
A,0,0,2007/9/19
M,0,0,2018/8/21
F,0,0,2018/10/22
M,0,0,2019/3/31
E,0,0,2019/5/26
E,0,0,2018/10/24
F,0,0,2019/6/16
J,0,0,2007/6/19
A,0,0,2006/9/19
G,1,0,2018/6/20
I,1,0,2008/4/18
D,1,0,2008/4/18
G,1,0,2019/1/23
K,1,0,2005/5/19
N,1,0,2019/6/19
K,1,0,2018/7/14
A,0,0,2018/7/31
L,0,0,2019/1/29
H,0,0,2007/10/19
F,0,0,2019/3/23
E,0,0,2009/8/18
M,0,0,2019/3/24
B,1,0,2012/11/18
G,1,0,2019/6/21
C,1,0,2007/10/19
J,0,0,2006/11/19
E,0,0,2019/1/23
J,0,0,2019/6/17
I,1,0,2019/3/27
E,0,0,2019/3/26
G,1,0,2018/10/16
D,1,0,2019/1/30
J,0,0,2007/3/19
C,1,0,2018/12/23
B,1,0,2019/7/16
F,0,0,2019/6/17
E,0,0,2007/6/19
C,1,0,2018/6/27
B,1,0,2007/8/18
F,0,0,2019/3/20
G,1,0,2008/4/18
N,1,0,2009/5/18
N,1,0,2019/1/16
L,0,0,2019/1/27
L,0,0,2009/2/18
L,0,0,2012/2/18
B,1,0,2019/2/20
C,1,0,2019/6/19
F,0,0,2003/5/19
E,0,0,2019/5/28
E,0,0,2019/5/21
C,1,0,2010/9/18
G,1,0,2006/1/19
F,0,0,2019/5/28
D,1,0,2004/3/19
J,0,0,2018/10/31
C,1,0,2019/7/16
A,0,0,2018/6/27
F,0,0,2019/3/26
E,0,0,2007/8/19
D,1,0,2018/10/17
C,1,0,2019/5/15
J,0,0,2018/11/27
H,0,0,2018/11/27
J,0,0,2019/1/14
A,0,0,2019/1/14
F,0,0,2019/4/23
J,0,0,2018/9/18
A,0,0,2005/6/19
H,0,0,2019/7/15
J,0,0,2008/12/18
A,0,0,2018/12/17
E,0,0,2018/8/19
F,0,0,2012/8/18
B,1,0,2019/3/20
C,1,0,2007/3/18
I,1,0,2019/5/16
D,1,0,2018/10/14
I,1,0,2019/4/30
H,0,0,2018/9/17
E,0,0,2003/10/19
J,0,0,2010/1/18
J,0,0,2009/2/18
G,1,0,2019/1/22
G,1,0,2019/3/27
A,0,0,2003/5/19
J,0,0,2019/6/17
M,0,0,2018/11/27
E,0,0,2018/8/29
H,0,0,2018/9/19
L,0,0,2006/2/19
F,0,0,2003/12/19
D,1,0,2018/10/16
A,0,0,2004/10/19
K,1,0,2008/5/18
C,1,0,2004/3/19
C,1,0,2007/3/19
F,0,0,2007/9/18
H,0,0,2004/1/19
G,1,0,2005/7/19
D,1,0,2007/7/18
D,1,0,2018/9/19
K,1,0,2010/9/18
C,1,0,2018/11/14
C,1,0,2018/11/27
C,1,0,2018/11/28
N,1,0,2012/12/18
N,1,0,2019/1/22
C,1,0,2019/3/13
G,1,0,2019/5/15
G,1,0,2007/9/19
A,0,0,2018/10/17
M,0,0,2018/10/31
A,0,0,2001/2/19
H,0,0,2019/1/22
F,0,0,2019/3/13
J,0,0,2002/11/19
J,0,0,2019/6/23
I,1,0,2018/7/16
H,0,0,2010/2/18
E,0,0,2010/6/18
H,0,0,2012/9/18
F,0,0,2007/10/19
F,0,0,2018/7/23
H,0,0,2002/11/19
E,0,0,2018/8/26
F,0,0,2019/4/24
F,0,0,2005/7/19
C,1,0,2018/9/30
D,1,0,2019/6/15
E,0,0,2018/11/14
H,0,0,2006/12/19
F,0,0,2018/8/15
F,0,0,2012/12/18
G,1,0,2018/8/21
I,1,0,2009/5/18
C,1,0,2018/9/18
G,1,0,2019/3/13
G,1,0,2019/3/26
G,1,0,2007/3/19
L,0,0,2003/12/19
L,0,0,2003/11/19
J,0,0,2011/6/18
E,0,0,2009/9/18
E,0,0,2012/4/18
B,1,0,2018/8/20
G,1,0,2001/9/19
F,0,0,2018/7/15
N,1,0,2019/3/20
H,0,0,2019/2/18
H,0,0,2019/1/21
B,1,0,2009/5/18
C,1,0,2011/4/18
N,1,0,2009/11/18
B,1,0,2003/9/19
L,0,0,2005/1/19
B,1,0,2006/12/19
K,1,0,2019/6/23
I,1,0,2007/10/19
E,0,0,2018/11/24
D,1,0,2003/2/19
D,1,0,2019/6/25
G,1,0,2018/10/24
N,1,0,2018/11/20
H,0,0,2018/10/22
D,1,0,2007/10/18
G,1,0,2010/9/18
G,1,0,2018/10/29
G,1,0,2003/3/19
F,0,0,2012/2/18
J,0,0,2008/4/18
F,0,0,2019/5/27
B,1,0,2019/6/25
L,0,0,2012/5/18
J,0,0,2018/9/24
G,1,0,2003/9/19
D,1,0,2018/10/28
A,0,0,2018/9/30
B,1,0,2009/11/18
G,1,0,2011/7/18
L,0,0,2012/4/18
D,1,0,2004/9/19
B,1,0,2019/5/18
G,1,0,2019/6/18
E,0,0,2009/5/18
H,0,0,2018/10/23
E,0,0,2018/7/30
F,0,0,2018/7/18
E,0,0,2019/2/20
H,0,0,2004/2/19
F,0,0,2018/8/14
D,1,0,2005/1/19
G,1,0,2007/9/19
M,0,0,2019/5/14
K,1,0,2018/11/17
A,0,0,2011/12/18
A,0,0,2012/10/18
E,0,0,2007/1/19
L,0,0,2018/11/26
A,0,0,2003/11/19
E,0,0,2003/12/19
D,1,0,2018/9/13
C,0,1,2018/10/19
G,0,1,2018/8/19
D,0,1,2019/4/26
B,0,1,2018/12/15
K,0,1,2018/9/25
G,0,1,2018/10/30
N,0,1,2019/1/15
B,0,1,2019/3/17
N,0,1,2010/9/18
G,0,1,2008/10/18
C,0,1,2009/7/18
G,0,1,2005/2/19
C,0,1,2006/10/19
G,0,1,2019/6/21
C,0,1,2019/4/13
B,0,1,2010/6/18
I,0,1,2018/7/27
B,0,1,2003/1/19
C,0,1,2018/12/18
G,0,1,2005/12/19
C,0,1,2018/9/18
G,0,1,2018/9/18
I,0,1,2007/12/19
I,0,1,2018/7/20
B,0,1,2019/5/31
D,0,1,2010/9/18
B,0,1,2012/2/18
B,0,1,2018/9/18
C,0,1,2018/6/26
C,0,1,2005/10/19
B,0,1,2006/2/19
G,0,1,2005/1/19
G,0,1,2018/11/30
C,0,1,2006/2/19
L,1,0,2010/12/18
K,0,0,2001/6/19
L,1,0,2012/2/18
D,0,0,2018/12/16
I,0,0,2019/6/17
J,1,0,2019/1/27
J,1,0,2019/4/21
C,0,0,2018/8/19
G,0,0,2010/12/18
B,0,0,2018/7/17
K,0,0,2018/7/31
I,0,0,2019/4/30
D,0,0,2018/6/24
E,0,1,2002/2/19
E,0,1,2010/8/18
E,0,1,2012/7/18
L,0,1,2011/5/18
A,0,1,2019/1/29
H,0,1,2018/10/22
H,0,1,2009/3/18
L,0,1,2019/1/22
F,0,1,2018/8/20
J,0,1,2011/9/18
L,0,1,2019/4/23
F,0,1,2008/5/18
J,0,1,2019/3/31
J,0,1,2012/8/18
J,0,1,2018/10/29
J,0,1,2011/11/18
F,0,1,2019/1/21
E,0,1,2006/9/19
E,0,1,2007/1/19
E,0,1,2018/12/17
A,0,1,2011/12/18
J,0,1,2019/5/14
M,0,1,2018/9/25
F,0,1,2001/8/19
H,0,1,2011/5/18
E,0,1,2019/4/21
C,1,0,2019/3/15
C,1,0,2019/3/22
F,0,0,2019/1/21
H,0,0,2019/1/21
E,0,0,2001/8/19
G,1,0,2018/9/14
B,1,0,2009/7/18
G,1,0,2007/9/19
J,0,0,2018/10/22
D,1,0,2011/2/18
F,0,0,2007/10/18
C,1,0,2018/6/19
K,1,0,2019/4/21
I,1,0,2019/5/25
E,0,0,2018/11/27
E,0,0,2011/11/18
D,1,0,2018/10/27
F,0,0,2018/9/25
M,0,0,2008/5/18
G,1,0,2018/11/23
L,0,0,2018/7/16
L,0,0,2009/3/18
B,1,0,2018/11/23
C,1,0,2018/6/25
D,1,0,2019/6/28
I,1,0,2019/5/24
K,1,0,2019/6/22
K,1,0,2018/8/31
L,0,0,2019/6/18
D,1,0,2018/7/14
K,1,0,2018/10/26
G,1,0,2019/1/29
C,1,0,2005/10/19
A,0,0,2010/1/18
J,0,0,2012/3/18
E,0,0,2019/1/13
I,1,0,2018/11/30
L,0,0,2019/1/27
I,1,0,2019/1/20
H,0,0,2019/1/14
F,0,0,2018/9/15
B,1,0,2018/6/29
J,0,0,2018/9/25
I,1,0,2008/5/18
B,1,0,2019/1/13
E,0,0,2007/9/18
C,1,0,2018/11/17
H,0,0,2018/11/17
H,0,0,2007/2/19
L,0,0,2018/6/19
L,0,0,2018/11/26
K,1,0,2012/7/18
L,0,0,2019/1/21
H,0,0,2012/2/18
F,0,0,2018/11/20
B,1,0,2009/4/18
E,0,0,2019/5/27
K,1,0,2018/12/15
D,1,0,2019/1/18
D,1,0,2003/1/19
H,0,0,2018/10/15
I,1,0,2012/1/18
I,1,0,2006/1/19
I,1,0,2019/6/21
L,0,0,2008/7/18
B,1,0,2019/5/17
I,1,0,2018/9/21
I,1,0,2018/12/28
I,1,0,2002/8/19
L,0,0,2018/8/20
J,0,0,2018/8/26
G,1,0,2003/8/19
H,0,0,2018/11/13
D,1,0,2018/8/24
C,1,0,2018/9/14
C,1,0,2018/10/26
L,0,0,2006/11/19
E,0,0,2019/1/22
A,0,0,2018/10/14
H,0,0,2018/9/24
E,0,0,2018/11/20
F,0,0,2006/3/19
H,0,0,2011/12/18
H,0,0,2019/2/18
H,0,0,2006/4/19
A,0,0,2019/1/28
A,0,0,2019/1/14
D,1,0,2018/9/15
